date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:36:34	83809/83809	---M--	200	added ('OK')	image/jpeg	etag:%2214761-584cf79cb0c00%22	https://preview.colorlib.com/theme/digilab/images/project-4.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/project-4.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:34	67129/67129	---M--	200	added ('OK')	image/jpeg	etag:%2210639-584cf7a175740%22	https://preview.colorlib.com/theme/digilab/images/project-5.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/project-5.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:35	81893/81893	---M--	200	added ('OK')	image/jpeg	etag:%2213fe5-584cf7a35dbc0%22	https://preview.colorlib.com/theme/digilab/images/project-6.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/project-6.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:36	85490/85490	---M--	200	added ('OK')	image/jpeg	etag:%2214df2-584cf7a916940%22	https://preview.colorlib.com/theme/digilab/images/staff-1.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/staff-1.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:36	268375/268375	---M--	200	added ('OK')	image/jpeg	etag:%2241857-584cf745e7f40%22	https://preview.colorlib.com/theme/digilab/images/about.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/about.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:36	94215/94215	---M--	200	added ('OK')	image/jpeg	etag:%2217007-584cf7abf3000%22	https://preview.colorlib.com/theme/digilab/images/staff-2.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/staff-2.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:36	121379/121379	---M--	200	added ('OK')	image/jpeg	etag:%221da23-584cf7ace7240%22	https://preview.colorlib.com/theme/digilab/images/staff-3.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/staff-3.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:37	82496/82496	---M--	200	added ('OK')	image/jpeg	etag:%2214240-584cf7b394200%22	https://preview.colorlib.com/theme/digilab/images/staff-4.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/staff-4.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:37	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-584cf774a2d80%22	https://preview.colorlib.com/theme/digilab/images/person_1.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/person_1.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:38	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-584cf774a2d80%22	https://preview.colorlib.com/theme/digilab/images/person_2.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/person_2.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:38	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-584cf77e2c400%22	https://preview.colorlib.com/theme/digilab/images/person_3.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/person_3.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:38	25350/25350	---M--	200	added ('OK')	image/jpeg	etag:%226306-584cf77b4fd40%22	https://preview.colorlib.com/theme/digilab/images/person_4.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/person_4.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:39	19770/19770	---MCZ	200	added ('OK')	text/html	date:Sun,%2024%20Mar%202019%2004:22:45%20GMT	https://preview.colorlib.com/theme/digilab/single.html	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/single.html	(from https://preview.colorlib.com/theme/digilab/)
13:36:39	50857/50857	---M--	200	added ('OK')	image/jpeg	etag:%22c6a9-584cf759eee80%22	https://preview.colorlib.com/theme/digilab/images/image_1.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/image_1.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:39	76443/76443	---M--	200	added ('OK')	image/jpeg	etag:%2212a9b-584cf7646c740%22	https://preview.colorlib.com/theme/digilab/images/image_2.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/image_2.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:40	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264d25459-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/digilab/)
13:36:40	67519/67519	---M--	200	added ('OK')	image/jpeg	etag:%22107bf-584cf7609be40%22	https://preview.colorlib.com/theme/digilab/images/image_3.jpg	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/images/image_3.jpg	(from https://preview.colorlib.com/theme/digilab/)
13:36:40	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:%2241706-584cf7ebd86c0-gzip%22	https://preview.colorlib.com/theme/digilab/js/jquery.min.js	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/js/jquery.min.js	(from https://preview.colorlib.com/theme/digilab/)
13:36:41	11421/11421	---M-Z	200	added ('OK')	application/javascript	etag:%222c9d-584cf7e066bc0-gzip%22	https://preview.colorlib.com/theme/digilab/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/js/jquery-migrate-3.0.1.min.js	(from https://preview.colorlib.com/theme/digilab/)
13:36:41	19032/19032	---M-Z	200	added ('OK')	application/javascript	etag:%224a58-584cf7fd02f40-gzip%22	https://preview.colorlib.com/theme/digilab/js/popper.min.js	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/js/popper.min.js	(from https://preview.colorlib.com/theme/digilab/)
13:36:41	55775/55775	---M-Z	200	added ('OK')	application/javascript	etag:%22d9df-584cf7daade40-gzip%22	https://preview.colorlib.com/theme/digilab/js/bootstrap.min.js	C:/My%20Web%20Sites/new%20one/preview.colorlib.com/theme/digilab/js/bootstrap.min.js	(from https://preview.colorlib.com/theme/digilab/)
